year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,read_test_pct_prof_midpt,math_test_pct_prof_midpt,title_i_status,enrollment,direct_certification,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl
2018,2.50E+11,Abington High,MA,Abington,High,Regular school,No,62,57,School is not eligible for either Title I Targeted Assistance or Schoolwide program,545,105,4.633749,1.066798,10,2.78406,7
2018,2.50E+11,Abington Middle School,MA,Abington,Middle,Regular school,No,53,45,School is not eligible for either Title I Targeted Assistance or Schoolwide program,672,164,8.420879,1.214146,24,6.571191,22
2018,2.51E+11,Abner Gibbs,MA,Westfield,Primary,Regular school,No,42,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,218,123,18.549242,1.284326,60,21.5634,70
2018,2.51E+11,Aborn,MA,Lynn,Primary,Regular school,No,57,52,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,256,95,12.120681,1.163125,37,14.671154,50
2018,2.51E+11,Abraham Lincoln,MA,Revere,Primary,Regular school,No,53,51,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,669,308,16.392443,1.144455,53,21.35026,69
2018,2.51E+11,Abraham Lincoln,MA,New Bedford,Primary,Regular school,No,41,37,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,688,467,22.362541,1.427463,72,24.905533,78
2018,2.51E+11,Abraham Lincoln,MA,Lowell,Primary,Regular school,No,42,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,509,321,22.059843,1.361473,71,23.24746,74
2018,2.51E+11,Academy Avenue,MA,Weymouth,Primary,Regular school,No,62,47,School is not eligible for either Title I Targeted Assistance or Schoolwide program,293,82,9.083919,1.170003,26,8.037697,27
2018,2.50E+11,Academy Of the Pacific Rim Charter Public School,MA,Academy Of the Pacific Rim Charter Public (District),High,Regular school,Yes,44,36,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,526,201,13.327047,1.826387,42,17.862503,60
2018,2.50E+11,Acton-Boxborough Regional High,MA,Acton-Boxborough,High,Regular school,No,90,93,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1837,97,0,1.025811,1,1.103021,3
2018,2.50E+11,Acushnet Elementary School,MA,Acushnet,Primary,Regular school,No,77,57,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,565,146,8.659695,0.977128,25,7.0498,23
2018,2.50E+11,Adams School,MA,Everett,Prekindergarten,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,194,87,,,,,
2018,2.51E+11,Advanced Community Experience Program,MA,Lunenburg,Ungraded,Special education school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,8,,20.411894,1.783383,66,19.46765,64
2018,2.50E+11,Advanced Math and Science Academy Charter School,MA,Advanced Math and Science Academy Charter (District),High,Regular school,Yes,80,79,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,974,64,2.79441,1.426023,5,5.415309,17
2018,2.50E+11,Agawam Early Childhood Center,MA,Agawam,Prekindergarten,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,162,53,,,,,
2018,2.50E+11,Agawam High,MA,Agawam,High,Regular school,No,61,60,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1113,236,5.278812,1.08098,12,7.715459,26
2018,2.50E+11,Agawam Junior High,MA,Agawam,Middle,Regular school,No,46,51,School is not eligible for either Title I Targeted Assistance or Schoolwide program,591,182,10.548071,1.304592,31,12.984718,44
2018,2.50E+11,Albert F Ford Middle School,MA,Acushnet,Middle,Regular school,No,49,54,School is not eligible for either Title I Targeted Assistance or Schoolwide program,439,104,7.173594,1.429683,19,5.563699,18
2018,2.51E+11,Albert F. Argenziano School at Lincoln Park,MA,Somerville,Primary,Regular school,No,43,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,616,188,13.303158,1.0635,42,12.32192,42
2018,2.51E+11,Albert S. Woodward Memorial School,MA,Southborough,Primary,Regular school,No,87,92,School is not eligible for either Title I Targeted Assistance or Schoolwide program,258,10,0.048913,1.277329,1,1.547881,4
2018,2.50E+11,Alcott,MA,Concord,Primary,Regular school,No,79,83,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,479,44,3.115809,1.008507,6,4.506837,13
2018,2.50E+11,Alden School,MA,Duxbury,Primary,Regular school,No,70,67,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,630,31,1.40608,1.362516,2,1.905775,5
2018,2.51E+11,Alexander B Bruce,MA,Lawrence,Middle,Regular school,No,29,26,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,529,335,22.924318,1.438312,74,28.686253,86
2018,2.51E+11,Alfred G. Zanetti Montessori Magnet School,MA,Springfield,Primary,Regular school,No,59,54,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,438,151,14.619785,1.093661,47,26.335325,81
2018,2.51E+11,Alfred J Gomes,MA,New Bedford,Primary,Regular school,No,29,29,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,549,418,25.112204,1.554216,80,27.655197,84
2018,2.51E+11,Alfred M Chaffee,MA,Oxford,Primary,Regular school,No,,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,256,78,11.209651,1.057347,34,11.042031,38
2018,2.51E+11,Algonquin Regional High,MA,Northboro-Southboro,High,Regular school,No,81,83,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,1450,89,0,1.118498,1,2.4,6
2018,2.51E+11,Alice A Macomber,MA,Westport,Primary,Regular school,No,,,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,365,93,9.548873,1.057486,28,8.098855,27
2018,2.51E+11,Alice B Beal Elementary,MA,Springfield,Primary,Regular school,No,52,47,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,253,179,23.318895,1.46962,75,35.03444,94
2018,2.51E+11,Alice M Barrows,MA,Reading,Primary,Regular school,No,72,72,School is not eligible for either Title I Targeted Assistance or Schoolwide program,374,28,2.260219,1.330618,4,3.313778,9
2018,2.51E+11,Allendale,MA,Pittsfield,Primary,Regular school,No,47,27,School is not eligible for either Title I Targeted Assistance or Schoolwide program,313,162,16.996468,1.23964,55,18.201069,61
2018,2.50E+11,Alma del Mar Charter School,MA,Alma del Mar Charter School (District),Primary,Regular school,Yes,49,54,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,441,273,22.760763,1.529421,73,25.303755,79
2018,2.51E+11,Ambrose Elementary,MA,Winchester,Primary,Regular school,No,85,85,School is not eligible for either Title I Targeted Assistance or Schoolwide program,394,3,0.021612,1.418637,1,1.350225,4
2018,2.51E+11,Amelio Della Chiesa Early Childhood Center,MA,Quincy,Prekindergarten,Regular school,No,,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,177,60,,,,,
2018,2.50E+11,Amesbury Elementary,MA,Amesbury,Primary,Regular school,No,67,62,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,374,86,8.721765,1.062829,25,8.596885,29
2018,2.50E+11,Amesbury High,MA,Amesbury,High,Regular school,No,82,72,School is not eligible for either Title I Targeted Assistance or Schoolwide program,565,86,3.287359,1.043574,6,3.162479,8
2018,2.50E+11,Amesbury Innovation High School,MA,Amesbury,High,Regular school,No,75,24.5,School is not eligible for either Title I Targeted Assistance or Schoolwide program,51,31,18.453846,1.667324,60,18.328966,61
2018,2.50E+11,Amesbury Middle,MA,Amesbury,Middle,Regular school,No,56,52,School is not eligible for either Title I Targeted Assistance or Schoolwide program,644,148,7.947075,1.19587,22,7.822195,26
2018,2.50E+11,Amherst Regional High,MA,Amherst-Pelham,High,Regular school,No,71,68,School is not eligible for either Title I Targeted Assistance or Schoolwide program,924,219,4.281118,1.059333,9,7.247225,24
2018,2.50E+11,Amherst Regional Middle School,MA,Amherst-Pelham,Middle,Regular school,No,56,47,School is not eligible for either Title I Targeted Assistance or Schoolwide program,416,111,7.350149,1.111131,20,10.316257,35
2018,2.50E+11,Amigos School,MA,Cambridge,Primary,Regular school,No,72,70,School is not eligible for either Title I Targeted Assistance or Schoolwide program,419,77,9.261344,1.024198,27,9.269559,31
2018,2.51E+11,Amvet Boulevard,MA,North Attleborough,Primary,Regular school,No,68,60,School is not eligible for either Title I Targeted Assistance or Schoolwide program,378,39,3.202511,1.298064,6,6.027398,19
2018,2.50E+11,Andover High,MA,Andover,High,Regular school,No,85,83,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1790,139,0.805536,1.024853,1,0,1
2018,2.50E+11,Andover West Middle,MA,Andover,Middle,Regular school,No,70,69,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,522,46,3.230635,1.0605,6,1.483677,4
2018,2.50E+11,Andrew B. Cushman School,MA,Dartmouth,Primary,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,139,30,8.251781,1.067405,23,8.039523,27
2018,2.51E+11,Anna Ware Jackson,MA,Plainville,Primary,Regular school,No,77,72,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,424,81,6.417184,0.969411,16,5.282376,16
2018,2.51E+11,Anne Bradstreet Early Childhood Center,MA,North Andover,Primary,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,471,81,6.792062,1.088547,18,7.676102,26
2018,2.51E+11,Anne T. Dunphy School,MA,Williamsburg,Primary,Regular school,No,57,37,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,147,38,8.6629,0.977159,25,11.5,39
2018,2.51E+11,Annie E Fales,MA,Westborough,Primary,Regular school,No,67,72,School is not eligible for either Title I Targeted Assistance or Schoolwide program,354,19,1.554738,1.356808,2,1.955759,5
2018,2.51E+11,Annie L Sargent School,MA,North Andover,Primary,Regular school,No,59,57,School is not eligible for either Title I Targeted Assistance or Schoolwide program,471,35,2.2417,1.331286,4,3.12574,8
2018,2.51E+11,Annie Sullivan Middle School,MA,Franklin,Middle,Regular school,No,72,65,School is not eligible for either Title I Targeted Assistance or Schoolwide program,407,33,2.996245,1.056307,5,2.649607,7
2018,2.50E+11,Another Course To College,MA,Boston,High,Other/alternative school,No,34.5,15,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,224,128,17.241726,1.597788,56,21.77718,70
2018,2.51E+11,Apponequet Regional High,MA,Freetown-Lakeville,High,Regular school,No,76,76,School is not eligible for either Title I Targeted Assistance or Schoolwide program,727,90,2.341482,1.032664,4,2.106687,5
2018,2.50E+11,Archie T Morrison,MA,Braintree,Primary,Regular school,No,64,60,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,426,123,9.379135,1.167454,27,9.590295,32
2018,2.50E+11,Argosy Collegiate Charter School,MA,Argosy Collegiate Charter School (District),Middle,Regular school,Yes,33,41,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,466,261,19.25065,2.144216,62,21.952152,71
2018,2.50E+11,Arlington High,MA,Arlington,High,Regular school,No,82,82,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1380,104,0.729266,1.024789,1,1.846179,5
2018,2.51E+11,Arlington Middle School,MA,Lawrence,Middle,Regular school,No,25,23,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,617,400,21.877089,1.934814,71,27.639023,84
2018,2.51E+11,Arthur D Healey,MA,Somerville,Primary,Regular school,No,40,31,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,450,225,19.7876,1.278096,64,18.806362,62
2018,2.50E+11,Arthur M Longsjo Middle School,MA,Fitchburg,Middle,Regular school,No,37,23,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,647,428,22.317022,1.962375,72,23.47517,74
2018,2.51E+11,Arthur T Talmadge,MA,Springfield,Primary,Regular school,No,32,17,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,240,184,25.288036,1.562866,80,37.00358,96
2018,2.51E+11,Arthur T. Cummings Elementary School,MA,Winthrop,Primary,Regular school,No,60,55,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,446,120,8.724248,1.173646,25,12.408484,42
2018,2.51E+11,Arthur W Coolidge Middle,MA,Reading,Middle,Regular school,No,77,72,School is not eligible for either Title I Targeted Assistance or Schoolwide program,443,40,3.302895,1.061846,6,4.356454,13
2018,2.51E+11,Ashby Elementary,MA,North Middlesex,Primary,Regular school,No,52,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,173,39,7.27212,1.194241,19,6.400629,21
2018,2.50E+11,Ashfield Middle School,MA,Brockton,Middle,Regular school,No,32,23,School is not eligible for either Title I Targeted Assistance or Schoolwide program,569,268,15.975454,1.583026,52,10.927394,37
2018,2.50E+11,Ashland High,MA,Ashland,High,Regular school,No,82,81,School is not eligible for either Title I Targeted Assistance or Schoolwide program,832,102,2.301529,1.032304,4,2.683985,7
2018,2.50E+11,Ashland Middle,MA,Ashland,Middle,Regular school,No,74,76,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,608,85,4.950897,1.099119,11,5.333353,17
2018,2.50E+11,Assabet Valley Vocational High School,MA,Assabet Valley Regional Vocational Technical,High,Vocational school,No,53,54,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,1134,283,6.527719,1.113709,17,9.148618,31
2018,2.51E+11,Assawompset Elementary School,MA,Freetown-Lakeville,Primary,Regular school,No,62,47,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,465,82,5.638088,1.228204,13,5.403292,17
2018,2.51E+11,Atherton Hough,MA,Quincy,Primary,Regular school,No,67,47,School is not eligible for either Title I Targeted Assistance or Schoolwide program,271,81,9.717348,1.165027,28,10.735194,37
2018,2.50E+11,Athol Community Elementary School,MA,Athol-Royalston,Primary,Regular school,No,42,32,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,567,309,19.208006,1.239486,62,16.125282,54
2018,2.50E+11,Athol High,MA,Athol-Royalston,High,Regular school,No,47,37,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,339,155,13.440323,1.394432,42,10.3576,35
2018,2.50E+11,Athol-Royalston Middle School,MA,Athol-Royalston,Middle,Regular school,No,31,35,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,409,196,16.248936,1.598423,53,13.166215,45
2018,2.51E+11,Atkinson,MA,North Andover,Primary,Regular school,No,50,54,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,359,104,9.41113,1.167202,27,10.295171,35
2018,2.51E+11,Atlantic Middle,MA,Quincy,Middle,Regular school,No,59,52,School is not eligible for either Title I Targeted Assistance or Schoolwide program,534,163,10.457892,1.300501,31,11.475739,39
2018,2.50E+11,Atlantis Charter School,MA,Atlantis Charter (District),Other,Regular school,Yes,45,38,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,1294,538,15.994138,1.200374,52,18.695639,62
2018,2.50E+11,Attleboro Community Academy,MA,Attleboro,High,Other/alternative school,No,24.5,24.5,School is not eligible for either Title I Targeted Assistance or Schoolwide program,58,25,12.568453,1.351673,39,11.627736,40
2018,2.50E+11,Attleboro High,MA,Attleboro,High,Regular school,No,53,56,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1746,440,6.609121,1.116072,17,5.668403,18
2018,2.50E+11,Auburn Middle,MA,Auburn,Middle,Regular school,No,63,55,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,623,117,6.548607,1.146441,17,6.652284,22
2018,2.50E+11,Auburn Senior High,MA,Auburn,High,Regular school,No,67,67,School is not eligible for either Title I Targeted Assistance or Schoolwide program,792,126,3.516323,1.046896,7,3.619998,10
2018,2.50E+11,Avery,MA,Dedham,Primary,Regular school,No,32,37,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,305,137,14.719934,1.191099,47,13.342317,45
2018,2.50E+11,Avon Middle High School,MA,Avon,High,Regular school,No,52,47,School is not eligible for either Title I Targeted Assistance or Schoolwide program,322,102,10.84158,1.318049,33,8.184116,27
2018,2.50E+11,Ayer Shirley Regional High School,MA,Ayer Shirley School District,High,Regular school,No,77,62,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,389,90,5.922012,1.096993,14,8.636769,29
2018,2.50E+11,Ayer Shirley Regional Middle School,MA,Ayer Shirley School District,Middle,Regular school,No,49,47,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,416,96,7.978884,1.197074,22,10.693642,36
2018,2.50E+11,Ayers/Ryal Side School,MA,Beverly,Primary,Regular school,No,57,57,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,426,103,7.816376,1.185432,21,8.446368,28
2018,2.50E+11,B M C Durfee High,MA,Fall River,High,Regular school,No,41,30,School is not eligible for either Title I Targeted Assistance or Schoolwide program,2096,1251,18.08796,1.646133,59,20.789461,68
2018,2.51E+11,B.F. Butler Middle School,MA,Lowell,Middle,Regular school,No,37,36,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,567,299,17.85067,1.690612,58,19.038286,63
2018,2.51E+11,Balch,MA,Norwood,Primary,Regular school,No,42,47,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,304,112,12.031716,1.162714,37,11.822418,40
2018,2.50E+11,Baldwin Early Learning Center,MA,Boston,Primary,Regular school,No,,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,159,48,11.116426,1.056979,34,15.651882,53
2018,2.51E+11,Baldwinville Elementary,MA,Narragansett,Primary,Regular school,No,42,32,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,280,73,8.446502,1.17686,24,6.104435,20
2018,2.51E+11,Balliet Middle School,MA,Springfield,Middle,Regular school,No,15,5,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,33,30,30.55804,2.50033,92,42.273582,98
2018,2.50E+11,Bancroft Elementary,MA,Andover,Primary,Regular school,No,67,61,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,589,49,2.537349,1.320748,4,0.790392,3
2018,2.50E+11,Barbieri Elementary,MA,Framingham,Primary,Regular school,No,31,24,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,672,297,14.479735,1.187246,46,15.977126,54
2018,2.50E+11,Barnstable Community Horace Mann Charter Public School,MA,Barnstable Community Horace Mann Charter Public (District),Primary,Regular school,Yes,42,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,290,121,13.966659,1.426554,44,15.166008,51
2018,2.50E+11,Barnstable High,MA,Barnstable,High,Regular school,No,55,46,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1802,473,9.034638,1.238884,26,10.233989,35
2018,2.50E+11,Barnstable Intermediate School,MA,Barnstable,Middle,Regular school,No,50,45,School is not eligible for either Title I Targeted Assistance or Schoolwide program,781,273,11.932776,1.369918,37,13.132127,45
2018,2.50E+11,Barnstable United Elementary School,MA,Barnstable,Primary,Regular school,No,47,44,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,810,283,11.39799,1.160858,35,12.597341,43
2018,2.50E+11,Barrett Russell Early Childhood Center,MA,Brockton,Prekindergarten,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,207,105,,,,,
2018,2.50E+11,Barry,MA,Chicopee,Primary,Regular school,No,48,53,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,431,225,17.145258,1.243535,56,23.36159,74
2018,2.51E+11,Bartlett Community Partnership,MA,Lowell,Primary,Regular school,No,20,26,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,474,268,21.964582,1.380101,71,23.152199,74
2018,2.51E+11,Bartlett High School,MA,Webster,High,Regular school,No,27,27,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,458,205,13.119808,1.378519,41,10.006298,34
2018,2.51E+11,Bates,MA,Salem,Primary,Regular school,No,37,41,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,389,181,15.25636,1.200603,49,16.170969,54
2018,2.51E+11,Bay Path Regional Vocational Technical High School,MA,Southern Worcester County Regional Vocational Technical,High,Vocational school,No,49,46,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,1131,262,5.931696,1.097248,14,4.707539,14
2018,2.50E+11,Baystate Academy Charter Public School,MA,Baystate Academy Charter Public School (District),High,Regular school,Yes,26,23,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,500,349,23.841372,2.416181,76,35.556915,94
2018,2.51E+11,Beachmont Veterans Memorial School,MA,Revere,Primary,Regular school,No,67,67,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,326,148,16.179377,1.138481,52,21.137194,69
2018,2.51E+11,Beal School,MA,Shrewsbury,Primary,Regular school,No,,,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,294,42,4.523416,1.25748,10,4.787908,15
2018,2.51E+11,Beatrice H Wood Elementary,MA,Plainville,Middle,Regular school,No,50,57,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,287,60,5.717639,1.157625,14,4.582831,14
2018,2.50E+11,Beaver Brook Elementary,MA,Abington,Primary,Regular school,No,,,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,455,89,6.279203,1.213567,16,4.429514,13
2018,2.50E+11,Becket Washington School,MA,Central Berkshire,Primary,Regular school,No,54.5,54.5,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,125,47,13.583416,1.081479,43,15.823819,53
2018,2.50E+11,Bedford High,MA,Bedford,High,Regular school,No,72,77,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,874,62,0.582001,1.024754,1,1.017127,3
2018,2.51E+11,Beebe,MA,Malden,Primary,Regular school,No,47,46,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,903,392,16.29486,1.176516,53,17.194065,58
2018,2.51E+11,Beechwood Knoll Elementary,MA,Quincy,Primary,Regular school,No,67,57,School is not eligible for either Title I Targeted Assistance or Schoolwide program,323,103,10.382834,1.161799,31,11.40068,39
2018,2.51E+11,Beeman Memorial,MA,Gloucester,Primary,Regular school,No,52,47,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,331,150,14.85281,1.193338,48,15.204969,51
2018,2.50E+11,Beethoven,MA,Boston,Primary,Regular school,No,,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,307,105,12.452314,1.066474,39,16.98777,57
2018,2.50E+11,Belcher,MA,Chicopee,Primary,Regular school,No,,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,264,173,21.581097,1.394717,70,27.797428,84
2018,2.50E+11,Belchertown High,MA,Belchertown,High,Regular school,No,87,77,School is not eligible for either Title I Targeted Assistance or Schoolwide program,687,94,2.775222,1.037099,5,2.492802,6
2018,2.50E+11,Bellamy Middle,MA,Chicopee,Middle,Regular school,No,40,41,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,808,411,17.22909,1.654446,56,23.44542,74
2018,2.50E+11,Bellingham Early Childhood Center,MA,Bellingham,Prekindergarten,Regular school,No,,,School is not eligible for either Title I Targeted Assistance or Schoolwide program,98,14,,,,,
2018,2.50E+11,Bellingham High School,MA,Bellingham,High,Regular school,No,48,50,School is not eligible for either Title I Targeted Assistance or Schoolwide program,744,111,5.263491,1.107552,12,2.999807,8
2018,2.50E+11,Bellingham Memorial School,MA,Bellingham,Middle,Regular school,No,42,42,School is not eligible for either Title I Targeted Assistance or Schoolwide program,711,139,8.352324,1.092195,23,6.088641,20
2018,2.50E+11,Belmont High,MA,Belmont,High,Regular school,No,91,93,School is not eligible for either Title I Targeted Assistance or Schoolwide program,1308,97,0.689212,1.024768,1,2.159113,6
2018,2.51E+11,Belmont Street Community,MA,Worcester,Primary,Regular school,No,40,42,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,609,466,26.538265,1.590667,83,25.774939,80
2018,2.51E+11,Belmonte Saugus Middle,MA,Saugus,Middle,Regular school,No,42,41,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,634,192,10.377861,1.296889,31,9.316341,32
2018,2.50E+11,Benjamin Banneker Charter Public School,MA,Benjamin Banneker Charter Public (District),Primary,Regular school,Yes,72,67,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,354,161,16.516363,1.535347,53,16.524578,56
2018,2.50E+11,Benjamin Franklin Classical Charter Public School,MA,Benjamin Franklin Classical Charter Public (District),Primary,Regular school,Yes,72,72,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,459,34,4.620338,1.025729,10,4.2737,13
2018,2.51E+11,Benjamin Friedman Middle,MA,Taunton,Middle,Regular school,No,49,37,School is not eligible for either Title I Targeted Assistance or Schoolwide program,777,304,13.320722,1.43969,42,14.833721,50
2018,2.51E+11,Benjamin G Brown,MA,Somerville,Primary,Regular school,No,87,82,School is not eligible for either Title I Targeted Assistance or Schoolwide program,229,34,4.710303,1.252243,10,3.729067,11
2018,2.50E+11,Benjamin J Phelps,MA,Agawam,Primary,Regular school,No,52,57,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,348,104,9.715938,1.165036,28,12.152584,41
